2024-02-02 15:38:34.379 [main] INFO  com.sl.pp.AppMain - AppMain.main() :: Execution Started 
2024-02-02 15:38:34.390 [pool-2-thread-1] INFO  com.sl.pp.service.XmlService - InsertProcess::XmlService Started
2024-02-02 15:38:35.104 [pool-2-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.getXMLFiles() :: total xml files present 187
2024-02-02 15:39:14.699 [pool-3-thread-5] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ171220234.xml moved to null
2024-02-02 15:39:14.980 [pool-3-thread-2] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ171120233.xml moved to null
2024-02-02 15:39:15.080 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ181120231.xml moved to null
2024-02-02 15:39:15.448 [pool-3-thread-3] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ181120233.xml moved to null
2024-02-02 15:39:15.464 [pool-3-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ181120232.xml moved to null
2024-02-02 15:39:15.939 [pool-3-thread-5] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ181120234.xml moved to null
2024-02-02 15:39:16.381 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ181120236.xml moved to null
2024-02-02 15:39:16.392 [pool-3-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ191120231.xml moved to null
2024-02-02 15:39:16.394 [pool-3-thread-3] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ181220231.xml moved to null
2024-02-02 15:39:16.640 [pool-3-thread-2] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ181120235.xml moved to null
2024-02-02 15:39:16.647 [pool-3-thread-5] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ191120232.xml moved to null
2024-02-02 15:39:17.187 [pool-3-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ191120234.xml moved to null
2024-02-02 15:39:17.513 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ191120233.xml moved to null
2024-02-02 15:39:17.516 [pool-3-thread-5] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ191220232.xml moved to null
2024-02-02 15:39:17.537 [pool-3-thread-2] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ191220231.xml moved to null
2024-02-02 15:39:17.982 [pool-3-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ201120231.xml moved to null
2024-02-02 15:39:18.323 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ201120232.xml moved to null
2024-02-02 15:39:18.364 [pool-3-thread-2] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ201220231.xml moved to null
2024-02-02 15:39:18.534 [pool-3-thread-3] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ191120235.xml moved to null
2024-02-02 15:39:18.648 [pool-3-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ201220232.xml moved to null
2024-02-02 15:39:19.182 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ211120231.xml moved to null
2024-02-02 15:39:19.475 [pool-3-thread-5] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ201120233.xml moved to null
2024-02-02 15:39:19.475 [pool-3-thread-2] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ211120232.xml moved to null
2024-02-02 15:39:19.501 [pool-3-thread-3] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ211120233.xml moved to null
2024-02-02 15:39:19.519 [pool-3-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ211220231.xml moved to null
2024-02-02 15:39:20.053 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ221120231.xml moved to null
